종가,WMA,MA5,PER,foreign_보유수량,RSI,MOM,MA20
47750,48370,48250,7.39,3427851154,53.47452764,-1450,47982.5
48900,48414.54545,48220,7.57,3427197813,60.44952404,-400,48142.5
48550,48402.72727,48160,7.51,3426146152,57.6183355,-950,48255
49150,48517.27273,48470,7.61,3427332848,60.99125355,250,48367.5
50000,48781.81818,48870,7.74,3429097012,65.21477719,800,48517.5
50100,49050,49340,7.75,3430066824,65.68549051,1700,48665
50700,49396.36364,49700,7.85,3430036288,68.44461394,1650,48845
50500,49676.36364,50090,7.82,3430946012,66.52445109,1650,49025
49900,49817.27273,50240,7.72,3431931866,60.99596958,2300,49135
50300,49989.09091,50300,7.79,3431896276,63.19210429,2300,49192.5
51200,50282.72727,50520,7.92,3430157953,67.61100429,3450,49292.5
51200,50513.63636,50620,7.92,3432074394,67.61100429,2300,49387.5
50700,50611.81818,50660,7.85,3433437950,62.75666734,2150,49447.5
50900,50707.27273,50860,7.88,3432503445,63.8739865,1750,49547.5
51300,50843.63636,51060,7.94,3431800739,66.06664117,1300,49652.5
51100,50920,51040,7.91,3434077102,63.97580201,1000,49787.5
50400,50850.90909,50880,7.8,3435698020,57.1576667,-300,49855
50400,50787.27273,50820,7.8,3436336059,57.1576667,-100,49932.5
51200,50870.90909,50880,7.92,3435924091,62.4604112,1300,50112.5
52300,51130.90909,51080,8.09,3433098125,68.27497274,2000,50327.5
52700,51427.27273,51400,8.16,3434249287,70.0892622,1500,50575
53300,51805.45455,51980,8.25,3437167252,72.61875638,2100,50795
52900,52072.72727,52480,8.19,3441265379,68.46204518,2200,51012.5
52100,52154.54545,52660,8.06,3440785556,60.94797874,1200,51160
51600,52123.63636,52520,7.99,3438363577,56.75525775,300,51240
52600,52269.09091,52500,8.14,3437947428,62.3358412,1500,51365
52500,52369.09091,52340,8.13,3437924492,61.48141447,2100,51455
52800,52485.45455,52320,8.17,3438808442,63.11482298,2400,51570
53700,52721.81818,52640,8.31,3436911460,67.55929975,2500,51760
53500,52876.36364,53020,8.28,3436813862,65.66573675,1200,51920
53500,53009.09091,53200,8.28,3435064600,65.66573675,800,52035
52000,52854.54545,53100,8.05,3435481570,52.79465124,-1300,52075
51000,52541.81818,52740,7.89,3433622911,46.2816835,-1900,52090
51600,52372.72727,52320,7.99,3430239396,50.24756113,-500,52125
51800,52249.09091,51980,8.02,3428300117,51.5320634,200,52150
51800,52121.81818,51640,8.02,3426072314,51.5320634,-800,52185
52200,52081.81818,51680,8.08,3418960796,54.27058107,-300,52275
51300,51883.63636,51740,7.94,3419006576,47.73525231,-1500,52320
50300,51530.90909,51480,7.79,3417108910,41.72319999,-3400,52275
50400,51258.18182,51200,7.8,3414628428,42.50305343,-3100,52180
49900,50950.90909,50820,7.72,3411207939,39.6462884,-3600,52040
49450,50627.27273,50270,7.65,3407623865,37.22149157,-2550,51847.5
49500,50359.09091,49910,7.66,3404915454,37.67759069,-1500,51677.5
50400,50281.81818,49930,7.8,3403641944,45.37115272,-1200,51592.5
51200,50371.81818,50090,7.92,3402251143,51.14451387,-600,51572.5
51500,50527.27273,50410,7.97,3400989677,53.14430671,-300,51517.5
51900,50760.90909,50900,8.03,3399197921,55.74538631,-300,51487.5
53300,51254.54545,51660,8.25,3398904523,63.40294219,2000,51512.5
54700,51966.36364,52520,8.47,3404263509,69.15140463,4400,51562.5
54700,52598.18182,53220,8.47,3408710456,69.15140463,4300,51622.5
56700,53515.45455,54260,8.78,3408046087,75.52168297,6800,51782.5
56300,54236.36364,55140,8.71,3410004154,72.3057249,6850,51997.5
56000,54778.18182,55680,8.67,3411364667,69.90152103,6500,52247.5
56000,55201.81818,55940,8.67,3411808014,69.90152103,5600,52467.5
55500,55432.72727,56100,8.59,3410579651,65.68017436,4300,52652.5
55000,55494.54545,55760,8.51,3406884621,61.66948176,3500,52812.5
55400,55565.45455,55580,8.57,3403530401,63.58522533,3500,52972.5
