³¯Â¥,BPS,PER,PBR,EPS,DIV,DPS
2020-03-12,62805,142.6,7.69,3387,0.0,0
2020-03-13,62805,134.78,7.27,3387,0.0,0
2020-03-16,62805,126.96,6.85,3387,0.0,0
2020-03-17,62805,123.27,6.65,3387,0.0,0
2020-03-18,62805,118.25,6.38,3387,0.0,0
2020-03-19,62805,108.06,5.83,3387,0.0,0
2020-03-20,62805,126.96,6.85,3387,0.0,0
2020-03-23,62805,128.73,6.94,3387,0.0,0
2020-03-24,62805,140.54,7.58,3387,0.0,0
2020-03-25,62805,140.24,7.56,3387,0.0,0
2020-03-26,62805,134.78,7.27,3387,0.0,0
2020-03-27,62805,130.79,7.05,3387,0.0,0
2020-03-30,62805,132.86,7.17,3387,0.0,0
2020-03-31,62805,142.31,7.67,3387,0.0,0
2020-04-01,62805,133.6,7.2,3387,0.0,0
2020-04-02,62805,137.14,7.4,3387,0.0,0
